taxon,id
Achnanthes coarctata,0
Achnanthidium atomus,1
Achnanthidium caledonicum,2
Achnanthidium catenatum,3
Achnanthidium druartii,4
Achnanthidium exiguum (Gogorevia exilis),5
Achnanthidium gracillimum,6
Achnanthidium latecephalum,7
Achnanthidium neomicrocephalum,8
Achnanthidium pfisteri,9
Achnanthidium rosenstockii,10
Achnanthidium sieminskae,11
Achnanthidium temniskovae,12
Achnanthidium trinode,13
Actinocyclus normanii,14
Adlafia minuscula,15
Amphipleura pellucida,16
Amphora aequalis,17
Amphora hemicyclus,18
Amphora minutissima,19
Astartiella bahusiensis,20
Berkeleya rutilans,21
Brachysira neoexilis,22
Caloneis aerophila,23
Caloneis amphisbaena,24
Caloneis bacillum,25
Caloneis fontinalis,26
Caloneis macedonica,27
Caloneis schumanniana,28
Caloneis silicula,29
Caloneis tenuis,30
Caloneis vasileyevae,31
Chamaepinnularia muscicola,32
Chamaepinnularia submuscicola,33
Cocconeis neothumensis,34
Craticula accomoda,35
Craticula ambigua,36
Craticula buderi,37
Craticula minusculoides,38
Craticula simplex,39
Crenotia thermalis,40
Cyclotella costei,41
Cyclotella ocellata,42
Cylindrotheca closterium,43
Cylindrotheca gracilis,44
Cymatopleura solea = Surirella librile,45
Cymbella compacta,46
Cymbella convexa,47
Cymbella diminuta = Cymbopleura diminuta,48
Cymbella excisa,49
Cymbella excisiformis,50
Cymbella kolbei,51
Cymbella lange-bertalotii,52
Cymbella omaniana,53
Cymbella parva,54
Cymbella superparva,55
Cymbella vulgata,56
Cymbellonitzschia diluviana,57
Cymbopleura amphicephala,58
Cymbopleura frequens,59
Cymbopleura rhomboidea,60
Denticula subtilis,61
Diadesmis confervacea,62
Diatoma ehrenbergii,63
Diatoma polonica,64
Diatoma problematica,65
Didymosphenia geminata,66
Diploneis carloswetzelii,67
Diploneis fontanella,68
Diploneis gallica,69
Diploneis krammeri,70
Diploneis marginastriata,71
Diploneis metapumila,72
Diploneis modica,73
Diploneis oblongellopsis,74
Diploneis oculata,75
Diploneis praetermissa,76
Diploneis pseudopetersenii,77
Diploneis puellafallax,78
Diploneis separanda,79
Discostella stelligera,80
Discostella woltereckii,81
Encyonema caespitosum,82
Encyonema hebridicum,83
Encyonema lange-bertalotii,84
Encyonema leibleinii,85
Encyonema prostratum,86
Encyonema vulgare,87
Encyonopsis krammeri,88
Encyonopsis microcephala,89
Eolimna tantula,90
Epithemia sorex,91
Eunotia bilunaris,92
Eunotia exigua,93
Eunotia nymanniana,94
Eunotia paludosa,95
Eunotia paratridentula,96
Eunotia tenella,97
Eunotia valida,98
Fallacia insociabilis,99
Fallacia lenzii,100
Fallacia lucinensis,101
Fallacia pygmaea,102
Fallacia subhamulata,103
Fistulifera pelliculosa,104
Fragilaria austriaca,105
Fragilaria mesolepta,106
Fragilaria neointermedia,107
Fragilaria pararumpens,108
Fragilaria radians,109
Fragilaria saxoplanctonica,110
Fragilariforma atomus,111
Fragilariforma bicapitata,112
Fragilariforma virescens,113
Geissleria acceptata,114
Geissleria decussis,115
Gomphonella olivaceoides var. desestriata,116
Gomphonema acuminatum,117
Gomphonema amoenum,118
Gomphonema angustatum,119
Gomphonema angustivalva,120
Gomphonema angustum,121
Gomphonema auritum,122
Gomphonema campoduense,123
Gomphonema capitatum,124
Gomphonema clavatulum,125
Gomphonema clavatum,126
Gomphonema cymbelliclinum,127
Gomphonema dojranense,128
Gomphonema exilissimum,129
Gomphonema extentum,130
Gomphonema hebridense,131
Gomphonema hristovskii,132
Gomphonema innocens,133
Gomphonema jablanicense,134
Gomphonema jadwigiae,135
Gomphonema occultum,136
Gomphonema pala,137
Gomphonema productum,138
Gomphonema pseudobohemicum,139
Gomphonema sphenovertex,140
Gomphonema subangustatum,141
Gomphonema subclavatum,142
Gomphonema subtergestinum,143
Gomphonema varioreduncum,144
Gomphonema variscohercynicum,145
Gomphosphenia fontinalis,146
Gomphosphenia holmquistii,147
Grunowia solgensis,148
Grunowia tabellaria,149
Gyrosigma kuetzingii,150
Gyrosigma macrum,151
Gyrosigma obtusatum,152
Halamphora normanii,153
Halamphora oligotraphenta,154
Hannaea arcus,155
Hantzschia amphioxys,156
Hippodonta hungarica,157
Hippodonta linearis,158
Hippodonta neglecta,159
Hippodonta pumila,160
Humidophila paracontenta,161
Humidophila vidalii,162
Karayevia clevei,163
Karayevia laterostrata,164
Kolbesia ploenensis,165
Lindavia radiosa,166
Luticola acidoclinata,167
Luticola andina,168
Luticola goeppertiana,169
Luticola imbricata,170
Luticola imbricatiformis,171
Luticola lanceolata,172
Luticola muticoides,173
Luticola muticopsis,174
Luticola nana,175
Luticola nivalis,176
Luticola pseudoimbrincata,177
Luticola saprophila,178
Luticola similis,179
Luticola sp. 1,180
Luticola sp. 2,181
Luticola ventriconfusa,182
Luticola ventricosa,183
Navicula associata,184
Navicula cari,185
Navicula cincta,186
Navicula cryptocephaloides,187
Navicula densilineolata,188
Navicula escambia,189
Navicula hofmanniae,190
Navicula kotschyi,191
Navicula lacuum,192
Navicula leptostriata,193
Navicula libonensis,194
Navicula notha,195
Navicula oblonga,196
Navicula oligotraphenta,197
Navicula oppugnata,198
Navicula pargemina,199
Navicula perminuta,200
Navicula radiosa,201
Navicula rhynchocephala,202
Navicula rhynchotella,203
Navicula salinarum,204
Navicula salinicola,205
Navicula sp. 1,206
Navicula sparsistriata,207
Navicula subalpina,208
Navicula tenelloides,209
Navicula vilaplanii,210
Navicula viridula,211
Navicula viridulacalcis,212
Neidiomorpha binodiformis,213
Neidium affine,214
Neidium productum,215
Nitzschia acidoclinata,216
Nitzschia acula,217
Nitzschia alpina,218
Nitzschia bulnheimiana,219
Nitzschia capitellata,220
Nitzschia clausii,221
Nitzschia communis,222
Nitzschia dealpina,223
Nitzschia denticula,224
Nitzschia diversa,225
Nitzschia dubia,226
Nitzschia fibulafissa,227
Nitzschia filiformis,228
Nitzschia fossilis,229
Nitzschia frequens,230
Nitzschia graciliformis,231
Nitzschia gracilis,232
Nitzschia heufleriana,233
Nitzschia lacuum,234
Nitzschia oligotraphenta,235
Nitzschia paleaeformis,236
Nitzschia pura,237
Nitzschia regula,238
Nitzschia reversa,239
Nitzschia sigma,240
Nitzschia sigmoidea,241
Nitzschia sinuata,242
Nitzschia solgensis,243
Nitzschia solita,244
Nitzschia subtilis,245
Nitzschia tenuis,246
Nitzschia thermaloides,247
Nitzschia umbonata,248
Nitzschia valdestriata,249
Nitzschia vermicularoides,250
Nitzschia wuellerstorfii,251
Nupela lapidosa,252
Pantocksekiella comensis,253
Pantocksekiella delicatula,254
Paraplaconeis minor,255
Pinnularia appendiculata,256
Pinnularia lundii,257
Pinnularia microstauron,258
Pinnularia obscura,259
Pinnularia schoenfelderi,260
Pinnularia sinistra,261
Pinnularia subrupestris,262
Pinnularia viridiformis,263
Placoneis anglica,264
Placoneis clementispronina,265
Placoneis gastrum,266
Placoneis paraelginensis,267
Placoneis pseudanglica,268
Placoneis undulata,269
Planothidium amphibium,270
Planothidium cavilanceolatum,271
Planothidium cryptolanceolatum,272
Planothidium delicatulum,273
Planothidium dubium,274
Planothidium granum,275
Planothidium minutissimum,276
Planothidium rostratoholarcticum,277
Platessa holsatica,278
Pleurosira laevis,279
Prestauroneis integra,280
Psammothidium bioretii,281
Psammothidium daoense,282
Psammothidium helveticum,283
Psammothidium microscopicum,284
Psammothidium punctulatum,285
Pseudofallacia monoculata,286
Pseudofallacia tenera,287
Pseudostaurosira brevistriata,288
Pseudostaurosira parasitica,289
Pseudostaurosira trinorii,290
Punctastriata lancettula,291
Puncticulata radiosa,292
Rhopalodia gibba,293
Rossithidium petersenii,294
Sellaphora absoluta,295
Sellaphora bacillum,296
Sellaphora mutatoides,297
Sellaphora parapupula,298
Sellaphora pseudopupula,299
Sellaphora rotunda,300
Sellaphora saprotolerans,301
Sellaphora schadei,302
Sellaphora stroemii,303
Sellaphora utermoehlii,304
Sellaphora verecundiae,305
Simonsenia delognei,306
