taxon,id
Achnanthidium atomoides,0
Achnanthidium delmontii,1
Achnanthidium eutrophilum,2
Achnanthidium jackii,3
Achnanthidium kranzii,4
Achnanthidium lineare,5
Achnanthidium microcephalum,6
Achnanthidium minutissimum,7
Achnanthidium pyrenaicum,8
Achnanthidium rivulare,9
Achnanthidium saprophilum,10
Achnanthidium straubianum,11
Achnanthidium subatomus,12
Amphora inariensis,13
Amphora indistincta,14
Amphora pediculus,15
Asterionella formosa,16
Aulacoseira ambigua,17
Aulacoseira granulata,18
Bacillaria paxillifera,19
Caloneis lancettula,20
Cocconeis pediculus,21
Cocconeis placentula,22
Conticribra weissflogii,23
Craticula subminuscula,24
Crenotia rumrichorum,25
Ctenophora pulchella,26
Cyclostephanos dubius,27
Cyclostephanos invisitatus,28
Cyclotella atomus,29
Cyclotella distinguenda,30
Cyclotella meduanae,31
Cyclotella meneghiniana (Stephanocyclus meneghiniana),32
Denticula tenuis,33
Diatoma moniliformis,34
Diatoma tenuis,35
Diatoma vulgaris,36
Discostella pseudostelligera,37
Encyonema minutum,38
Encyonema silesiacum,39
Encyonema ventricosum,40
Encyonopsis minuta,41
Entomoneis paludosa,42
Fistulifera saprophila,43
Fragilaria capucina,44
Fragilaria deformis,45
Fragilaria famelica,46
Fragilaria recapitellata,47
Fragilaria rinoi,48
Fragilaria vaucheriae,49
Gomphonella olivacea,50
Gomphonema calcifugum,51
Gomphonema elegantissimum,52
Gomphonema micropus,53
Gomphonema minusculum,54
Gomphonema minutum,55
Gomphonema parvulum,56
Gomphonema pumilum,57
Gomphonema sp. 1,58
Gomphonema tergestinum,59
Gomphonema utae,60
Gyrosigma acuminatum,61
Halamphora montana,62
Hippodonta capitata,63
Humidophila aerophila,64
Humidophila contemnata,65
Humidophila contenta,66
Humidophila simplex,67
Lemnicola hungarica,68
Luticola frequentissima,69
Luticola micra,70
Luticola mutica,71
Luticola rotunda,72
Mayamaea permitis,73
Melosira varians,74
Meridion circulare,75
Navicula amphiceropsis,76
Navicula antonii,77
Navicula capitatoradiata,78
Navicula caterva,79
Navicula cryptocephala,80
Navicula cryptotenella,81
Navicula cryptotenelloides,82
Navicula erifuga,83
Navicula germainii,84
Navicula gregaria,85
Navicula lanceolata,86
Navicula metareichardtiana = reichardtiana,87
Navicula recens,88
Navicula rostellata,89
Navicula simulata,90
Navicula slesvicensis,91
Navicula tripunctata,92
Navicula upsaliensis,93
Navicula veneta,94
Navicymbula pusilla,95
Nitzschia acicularis,96
Nitzschia adamata,97
Nitzschia agnita,98
Nitzschia amphibia,99
Nitzschia archibaldii,100
Nitzschia dissipata,101
Nitzschia fonticola,102
Nitzschia frustulum,103
Nitzschia frustulum var. subsalina,104
Nitzschia inconspicua,105
Nitzschia intermedia,106
Nitzschia microcephala,107
Nitzschia palea,108
Nitzschia paleacea,109
Nitzschia pusilla,110
Nitzschia recta,111
Nitzschia sociabilis,112
Nitzschia soratensis,113
Nitzschia supralitorea,114
Nitzschia tubicola,115
Nitzschia vermicularis,116
None,117
Pantocksekiella ocellata,118
Planothidium caputium,119
Planothidium frequentissimum,120
Planothidium hauckianum,121
Planothidium lanceolatum,122
Platessa oblongella,123
Psammothidium grischunum,124
Reimeria sinuata,125
Reimeria uniseriata,126
Rhoicosphenia abbreviata,127
Rhoicosphenia lacustris,128
Rhopalodia operculata,129
Sellaphora crassulexigua,130
Sellaphora nigri,131
Sellaphora pupula,132
Sellaphora raederae,133
Sellaphora saugerresii,134
Sellaphora seminulum,135
Seminavis strigosa,136
Stephanodiscus lacustris,137
Stephanodiscus parvus,138
Surirella brebissonii,139
Surirella minuta,140
Tabularia fasciculata,141
Ulnaria acus,142
Ulnaria ulna,143
